"業務分類","業務種別","タスク順","マトリクス横軸","ヒートマップグループ","ヒートマップステップ","タスク名","業務内容詳細","1件あたり所要時間_分_仮案","1件あたり所要時間_分_ヒアリング後","人手の負担_仮案","人手の負担_ヒアリング後","月間件数","現状課題","確認したいこと","クライアント回答","As-Isフロー更新内容_業務分類","備考"
"資産・負債管理","実地棚卸","3","棚卸表集計・承認","承認・確認","承認・確認","棚卸表集計・承認","出納職員が棚卸表を回収・集計し、会計責任者の承認を得て棚卸差異を会計システムへ反映する。","60（仮）","","高","","","集計・差異確認が手作業で時間がかかる","質問: 棚卸差異（帳簿と現物の不一致）が発生した場合の対応フローを教えてください / 回答例: 差異原因を調査し、会計責任者承認のうえ棚卸減耗損として計上する 質問: 棚卸差異（帳簿と現物の不一致）が発生した場合の調査・処理の手順を教えてください / 回答例: 差異原因を調査し、会計責任者承認のうえ棚卸減耗損として計上する","","",""
"資産・負債管理","固定資産管理","1","固定資産台帳登録","システム入力","システム入力","固定資産台帳登録","固定資産管理責任者が取得した固定資産（取得価額・耐用年数・部門・使用場所等）を固定資産管理台帳へ登録する。","30（仮）","","中","","","台帳登録の漏れや誤りが年度末の現物確認で発覚することがある","質問: 固定資産台帳はシステム管理ですかExcel管理ですか。会計システムと連携していますか / 回答例: Excel管理で、会計システムの減価償却データとは別管理。年度末に突合している 質問: 固定資産台帳は実際にはシステム管理ですかExcel管理ですか。会計システムの減価償却データと連携していますか / 回答例: Excel管理で、会計システムの減価償却データとは別管理。年度末に突合している 質問: 台帳登録の内容は誰かが二次確認していますか。登録誤りが見つかった場合の修正手順を教えてください / 回答例: 登録は責任者のみで行い二次確認はない。誤りは発見時に修正し会計責任者へ報告する","","",""
"資産・負債管理","固定資産管理","2","固定資産現物確認","情報収集・照合","情報収集・照合","固定資産現物確認","固定資産管理責任者が年度末に固定資産管理台帳と現物の存在・使用状況を確認する。","120（仮）","","高","","","保有資産数が多い場合に確認作業が大きな負担になる","質問: 現物確認で台帳にない資産や所在不明の資産が見つかった場合の対応手順を教えてください / 回答例: 固定資産管理責任者が原因を調査し、会計責任者承認のうえ台帳修正または除却処理する","","",""
"資産・負債管理","固定資産管理","3","除却承認・台帳更新","承認・確認","承認・確認","除却承認・台帳更新","固定資産管理責任者が廃棄・売却時に所定の承認（会計責任者・理事長）を得て、固定資産管理台帳の除却記録を更新する。","30（仮）","","中","","","除却手続きが後回しになり台帳との乖離が生じることがある","質問: 除却・売却の承認は金額・資産種別により承認者（会計責任者・理事長・理事会）が変わりますか / 回答例: 基本財産は理事会承認、その他は理事長承認としている","","",""
"決算・報告","月次報告","1","現預金残高確認","情報収集・照合","情報収集・照合","現預金残高確認","出納職員が現金・預金・仮払金・仮受金など月次処理に必要な残高を確認し、会計システムとの一致を確認する。","30（仮）","","中","","","勘定残高と実残高の突合が手作業で漏れが生じやすい","質問: 預金残高の照合は実際には通帳記帳とシステム残高の手作業突合ですか。インターネットバンキングの明細を利用していますか / 回答例: 通帳を記帳しシステム残高と手作業で突合している 質問: 現預金残高が一致しない場合の調査・修正は誰がどの期限までに行いますか / 回答例: 出納職員が当日中に調査し、判明しない場合は会計責任者へ報告する 質問: 現預金残高が不一致の場合の調査手順と会計責任者への報告ルールを教えてください / 回答例: 出納職員が入出金明細を再確認し、差異の原因を特定してから会計責任者へ報告する","","",""
"決算・報告","月次報告","2","月次試算表作成","計算・作成","計算・作成","月次試算表作成","出納職員が会計システムで月次試算表を出力し、内容の誤りや計上漏れがないか確認する。","30（仮）","","中","","","試算表の確認観点が標準化されておらず、見落としが発生することがある","","","",""
"決算・報告","月次報告","3","月次報告","記録・報告","記録・報告","月次報告書作成・提出","会計責任者が経理規程で定めた期日までに月次試算表と報告コメントをとりまとめ理事長へ月次報告する。","60（仮）","","高","","","報告コメントの作成に時間がかかり、標準化されていない","質問: 月次報告の報告コメント（重要事項・差異説明等）の作成基準はありますか / 回答例: 前月比で5%以上変動した科目に理由コメントを付ける運用を行っている 質問: 月次報告書の報告コメントの作成基準（どの科目に何を書くか）はありますか / 回答例: 前月比で5%以上変動した科目に理由コメントを付ける運用を行っている","","",""
"決算・報告","年次決算","1","決算整理仕訳作成","計算・作成","計算・作成","決算整理仕訳作成","出納職員が未収・未払・棚卸・減価償却・引当金・見越繰延などの決算整理仕訳を作成する。前期の仕訳を参照しExcelで下書きを作成する。","180（仮）","","高","","","決算整理仕訳の種類が多く、作成漏れや計算誤りが生じやすい","質問: 決算整理仕訳の作成にあたり参照する書類・データと、会計責任者によるレビューの手順を教えてください / 回答例: 前期仕訳・減価償却計算表・保険証書等を参照し、会計責任者が仕訳リストを確認後にシステムへ入力する 質問: 決算整理仕訳のレビュー・差戻しの手順と修正後の再確認フローを教えてください / 回答例: 会計責任者がコメントを記入して出納職員へ差戻し、修正後に再提出・再確認する 質問: 決算整理仕訳の下書きは実際には前期仕訳の流用ですか。チェックリスト等で網羅性を確認していますか / 回答例: 前期仕訳一覧をコピーして当期分を作っており、チェックリストはない 質問: 決算整理仕訳のレビュー・差戻し手順と、修正後の再確認の流れを教えてください / 回答例: 会計責任者がコメントを記入して出納職員へ差戻し、修正後に再提出・再確認する","","",""
"決算・報告","年次決算","2","決算整理仕訳入力","システム入力","システム入力","決算整理仕訳入力","出納職員が承認済み決算整理仕訳を会計システムへ入力する。","60（仮）","","中","","","大量仕訳の手入力で時間がかかる","","","",""
"決算・報告","年次決算","3","計算書類作成","計算・作成","文書・帳票作成","計算書類作成","出納職員が会計システムから貸借対照表・資金収支計算書・事業活動計算書・注記・附属明細書等を出力し、体裁を整えて完成させる。","180（仮）","","高","","","計算書類の体裁整備に時間がかかり、過去書類との比較確認が手作業","","","",""
"決算・報告","税務申告","1","申告要否確認","情報収集・照合","情報収集・照合","申告要否確認","出納職員が収益事業の有無・消費税課税の該当状況を確認し、申告の要否を判定する。","30（仮）","","中","","","要確認","質問: 収益事業・消費税課税の該当判定は実際には誰がいつ行っていますか / 回答例: 決算時に顧問税理士へ確認し、会計責任者が判定結果を記録している 質問: 収益事業・消費税課税の該当判定は実際には誰がいつ行っていますか。税理士へ確認していますか / 回答例: 決算時に顧問税理士へ確認し、会計責任者が判定結果を記録している","","",""
"決算・報告","税務申告","2","申告書作成","計算・作成","文書・帳票作成","法人税等申告書作成","出納職員（または顧問税理士）が法人税・消費税の申告書を計算書類・会計データをもとに作成する。","120（仮）","","高","","","要確認","質問: 法人税・消費税の申告書作成は内製ですか外部（税理士等）に委託していますか / 回答例: 収益事業がある場合は顧問税理士に委託している 質問: 申告書の内容は法人側で誰が最終確認していますか。修正が必要な場合の税理士とのやり取りの手順も教えてください / 回答例: 会計責任者が税額と事業区分を確認し、疑義は税理士へ照会して修正してもらう","","",""
"決算・報告","税務申告","3","申告・納税","記録・報告","記録・報告","申告・納税手続","出納職員が完成した申告書を税務署へ提出（電子申告等）し、納税を実行する。申告控えを保管する。","60（仮）","","中","","","要確認","質問: 納税の方法（電子納税・窓口）と納付期限の管理方法を教えてください / 回答例: ダイレクト納付を利用し、出納職員が申告期限と合わせて管理している","","",""
